LI-8100,LI-8100,CHAMBER,LI-8100,LI-8100,LI-8100,LI-8100,LI-8100,LI-8100
DATE_TIME initial_value,DOY initial_value,TA initial_value,FCO2_DRY LIN,FCO2_DRY LIN_R2,FCO2_DRY LIN_CV,LABEL,FCO2_DRY,FCO2_DRY R2
[YYYY-MM-DD HH:MM:SS],[#],[C],[umol+1m-2s-1],[#],[#],[#],[umol+1m-2s-1],[#]
6/17/2022 8:47,168.3665,26.55636,10.60429,0.99943,1.10322,LH_UL1_R,11.18914,0.9996
6/17/2022 8:51,168.36942,26.61773,14.52938,0.99944,1.10324,LH_UL2_R,14.80747,0.99945
6/17/2022 8:56,168.3724,27.66364,11.13923,0.99932,1.10766,LH_UL4_R,12.0006,0.99963
6/17/2022 8:59,168.37481,28.29045,12.41254,0.99903,1.11939,LH_UL3_R,12.48763,0.99904
6/17/2022 9:03,168.37741,28.73818,13.09436,0.99953,1.09877,LH_UL5_R,13.09436,0.99953
6/17/2022 9:06,168.37962,28.77818,14.4368,0.9992,1.11218,LH_UL6_R,14.4368,0.9992
6/17/2022 9:10,168.38241,28.42682,14.13979,0.99979,1.08759,LH_SV1_R,14.13979,0.99979
6/17/2022 9:14,168.38524,26.72591,5.57568,0.99901,1.12078,LH_SV2_R,5.57568,0.99901
6/17/2022 9:20,168.38889,26.31636,2.99435,0.99972,1.09001,LH_SV2_NEE,2.99435,0.99972
