CHAMBER,LI-8200,LI-7810,LI-7810,LI-7810,LI-7810,LI-8200
TA initial_value,DATE_TIME initial_value,FCO2_DRY,FCO2_DRY R2,FCO2_DRY LIN,FCO2_DRY LIN_R2,LABEL
[C],[YYYY-MM-DD HH:MM:SS],[umol+1m-2s-1],[#],[umol+1m-2s-1],[#],[#]
28.583360,2022/07/07 16:10:32,7.020730,0.999380,6.904810,0.999380,LH_UL2
28.263560,2022/07/07 16:13:56,7.439490,0.996840,7.439490,0.996840,LH_UL1
27.736570,2022/07/07 16:16:57,7.196130,0.990440,7.196130,0.990440,LH_UL3
27.870100,2022/07/07 16:19:55,5.424330,0.995540,5.424330,0.995540,LH_UL4
27.271300,2022/07/07 16:22:45,7.985480,0.998720,7.985480,0.998720,LH_UL5
27.750690,2022/07/07 16:25:10,7.304520,0.998940,7.304520,0.998940,LH_UL6
27.353090,2022/07/07 16:28:39,5.327220,0.998380,5.327220,0.998380,LH_SV1
27.316060,2022/07/07 16:32:33,5.376090,0.998300,5.376090,0.998300,LH_SV2
29.162750,2022/07/07 16:41:44,5.353580,0.997730,5.353580,0.997730,LC_HL6
30.405920,2022/07/07 16:44:33,4.181330,0.997650,4.181330,0.997650,LC_HL5
29.543110,2022/07/07 16:47:02,6.271190,0.997030,6.271190,0.997030,LC_HL4
30.750750,2022/07/07 16:50:09,4.322720,0.993040,4.322720,0.993040,LC_HL3
30.859220,2022/07/07 16:52:22,7.557820,0.998230,6.616390,0.997420,LC_HL2
30.483270,2022/07/07 16:55:17,6.725930,0.994950,6.279890,0.994760,LC_HL1
