LI-8100,LI-8100,LI-8100,,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,LI-8100,CHAMBER,LI-8100,CHAMBER,CHAMBER,LI-8100,LI-8100,Keep,Notes
DATE initial_value,DOY initial_value,PA initial_value,VOLUME_TOTAL,CO2 initial_value,CO2_DRY initial_value,TIMESTAMP_START,VOLUME,COMMENT,FCO2_DRY,FCO2_DRY LIN,AREA,VOLUME,ETIME initial_value,COLLAR_HEIGHT,FCO2_DRY R2,FCO2_DRY LIN_R2,,
[YYYY-MM-DD HH:MM:SS],[#],[kPa],[cm+3],[umol+1 mol-1],[umol+1 mol-1],[YYYYMMDDHHMMSS],[cm+3],[#],[umol+1m-2s-1],[umol+1m-2s-1],[cm+2],[cm+3],[s],[cm],[#],[#],,
5/17/22 8:48,137.36696,98.28,2851.6,338.94,348.38,2.02E+13,2197,FT2_NEE,-0.2363,-0.2363,317.8,19,0,2,0.54925,0.54925,1,
5/17/22 8:50,137.36873,98.26,2851.6,388.51,399.39,2.02E+13,2197,FT2_NEE,-0.70885,-0.70885,317.8,19,0,2,0.98352,0.98352,1,
5/17/22 8:54,137.37097,98.25,2851.6,411.94,423.15,2.02E+13,2197,FT2_NEE,0.12913,0.12913,317.8,19,0,2,0.45869,0.45869,1,
5/17/22 8:58,137.37373,98.22,2692.7,388.75,399.27,2.02E+13,2197,FT3_NEE,-3.1034,-3.1034,317.8,19,0,1.5,0.99145,0.99145,1,
5/17/22 9:03,137.37726,98.28,2692.7,341.41,351.14,2.02E+13,2197,FT5_NEE,4.38062,4.38062,317.8,19,0,1.5,0.99667,0.99667,1,
5/17/22 9:05,137.37891,98.32,2692.7,493.83,508.83,2.02E+13,2197,FT5_NEE,3.63427,3.63427,317.8,19,0,1.5,0.99866,0.99866,1,
5/17/22 9:09,137.38142,98.33,2851.6,410.8,423.63,2.02E+13,2197,FT4_NEE,-3.06332,-3.06332,317.8,19,0,2,0.90604,0.90604,1,
5/17/22 9:11,137.38299,97.9,2851.6,406.36,418.56,2.02E+13,2197,FT4_NEE,-5.91373,-5.91373,317.8,19,0,2,0.98076,0.98076,1,
