Date_IV,DOY_IV,Pressure_IV,Vtotal,CO2ABS_IV,Cdry_IV,Timestamp,Chamber Vol,Label,Exp_dCdry/dt,Lin_dCdry/dt,Area,8100 Vol,Etime_IV,Collar Height,Exp_R2,Lin_R2,Keep ,Notes
6/28/22 7:53,179.32906,99.35,4842.9,0.0954,429.33,,,NIST_L11_R_Att1_NoExtender,1.64303,1.64303,314,,0,,0.999532,0.999532,1,
6/28/22 7:57,179.33157,99.35,5470.9,0.09558,429.95,,,NIST_L12_R ,1.72568,1.62587,314,,0,,0.999647,0.999358,1,
6/28/22 8:02,179.33519,99.33,5156.9,0.09347,414.59,,,NIST_L13_R ,1.94548,1.94548,314,,0,,0.995038,0.995038,1,
6/28/22 8:06,179.33764,99.33,5156.9,0.09655,434.05,,,NIST_L21_R ,1.91319,1.77249,314,,0,,0.999435,0.999006,1,
6/28/22 8:09,179.33997,99.35,5313.9,0.09563,425.8,,,NIST_L22_R,2.02447,1.69885,314,,0,,0.999232,0.995412,1,
6/28/22 8:12,179.34176,99.35,4842.9,0.09521,428.77,,,NIST_L23_R,1.39426,1.39426,314,,0,,0.999305,0.999306,1,
6/28/22 8:15,179.34431,99.33,4842.9,0.09477,426.31,,,NIST_L31_R ,1.56016,1.56016,314,,0,,0.999088,0.999088,1,
6/28/22 8:18,179.34615,99.34,5313.9,0.0954,430.46,,,NIST_L32_R ,1.54353,1.54353,314,,0,,0.99943,0.999431,1,
6/28/22 8:21,179.34823,99.34,5156.9,0.09283,410.22,,,NIST_L33_R ,1.43745,1.43745,314,,0,,0.998172,0.998172,1,
6/28/22 8:24,179.35019,99.34,4999.9,0.0956,425.86,,,NIST_L41_R ,1.97378,1.89769,314,,0,,0.998122,0.998005,1,
6/28/22 8:26,179.35183,99.34,4999.9,0.09367,416.88,,,NIST_L42_R ,1.94249,1.94249,314,,0,,0.999034,0.999034,1,
6/28/22 8:29,179.35367,99.13,5313.9,0.09325,413.55,,,NIST_L43_R ,1.95587,1.95587,314,,0,,0.996608,0.996608,1,
6/28/22 8:58,179.37362,99.21,2216,0.08069,361.38,,,NIST_L11_NEE,-0.801278,-0.79481,314,,0,,0.993273,0.992999,1,
6/28/22 9:01,179.37595,99.21,2844,0.07806,350.97,,,NIST_L12_NEE,-1.56973,-1.55088,314,,0,,0.997577,0.997327,1,
6/28/22 9:04,179.37784,99.24,2530,0.08122,362.55,,,NIST_L13_NEE,-1.53576,-1.53576,314,,0,,-,0.999117,1,
6/28/22 9:06,179.37971,99.23,2530,0.07842,354.71,,,NIST_L21_NEE,-1.47131,-1.47131,314,,0,,0.990462,0.990463,1,
6/28/22 9:09,179.38155,99.26,2687,0.08404,373.02,,,NIST_L22_NEE,-1.61863,-1.61863,314,,0,,-,0.997387,1,
6/28/22 9:11,179.38333,99.25,2216,0.09015,404.56,,,NIST_L23_NEE,-0.641083,-0.641083,314,,0,,0.995261,0.995262,1,
6/28/22 9:14,179.38487,99.24,2216,0.0753,335.42,,,NIST_L31_NEE,-1.45115,-1.45115,314,,0,,0.990502,0.990503,1,
6/28/22 9:16,179.38668,99.65,2687,0.08268,380.14,,,NIST_L32_NEE,-1.59208,-1.59208,314,,0,,0.990619,0.99062,1,
6/28/22 9:18,179.38814,99.7,2530,0.08439,387.23,,,NIST_L33_NEE,-2.12527,-2.12527,314,,0,,0.990037,0.990038,1,
6/28/22 9:21,179.38979,99.74,2373,0.08401,403.1,,,NIST_L41_NEE,-2.70497,-2.70497,314,,0,,0.993699,0.9937,1,
6/28/22 9:23,179.39115,99.69,2373,0.08361,385.19,,,NIST_L42_NEE,-2.71112,-2.71112,314,,0,,-,0.990832,1,
6/28/22 9:25,179.39259,99.72,2687,0.08562,410.53,,,NIST_L43_NEE,-2.61062,-2.61062,314,,0,,-,0.991217,1,
6/28/22 10:15,179.4275,99.19,5156.9,0.09052,396.08,,,NIST_FT2_R_Att3,2.12266,2.12266,314,,0,,0.995704,0.995704,1,
6/28/22 10:21,179.43156,99.2,5156.9,0.09293,401.28,,,NIST_FT3_R_Att2,3.08971,3.08971,314,,0,,0.998791,0.998791,1,
6/28/22 10:24,179.43396,99.19,5313.9,0.09054,394.83,,,NIST_FT4_R,2.91827,2.91827,314,,0,,0.999193,0.999193,1,
6/28/22 10:28,179.43669,99.18,5313.9,0.09173,408.71,,,NIST_FT5_R ,2.40339,2.40339,314,,0,,0.990022,0.990023,1,
6/28/22 10:33,179.44015,99.18,5156.9,0.0929,411.63,,,NIST_FT6_R ,3.05134,3.05134,314,,0,,0.994655,0.994655,1,
6/28/22 10:37,179.44282,99.17,4999.9,0.09269,419.32,,,NIST_FT7_R ,2.87233,2.87233,314,,0,,0.999188,0.999189,1,
6/28/22 10:44,179.44743,99.13,5313.9,0.09686,443.3,,,NIST_FT8_R ,3.38781,3.38781,314,,0,,0.998068,0.998069,1,
6/28/22 10:47,179.44938,99.18,5156.9,0.09107,403.81,,,NIST_FT9_R ,2.16582,2.16582,314,,0,,0.999175,0.999176,1,
6/28/22 10:53,179.45369,99.5,2530,0.07727,373.95,,,NIST_FT9_NEE,-1.09695,-1.08834,314,,0,,0.997272,0.997122,1,
6/28/22 10:55,179.45547,99.5,2687,0.07516,365.93,,,NIST_FT8_NEE,-0.914986,-0.914986,314,,0,,0.998201,0.998201,1,
6/28/22 10:59,179.45766,99.08,4251.4,0.07774,348.92,,,NIST_FT7_NEE,-2.48509,-2.48509,317.8,,0,,0.992033,0.992034,1,
6/28/22 11:03,179.46095,99.07,4410.3,0.07141,327.59,,,NIST_FT6_NEE,-2.13856,-2.13856,317.8,,0,,0.998374,0.998375,1,
6/28/22 11:07,179.46341,99.02,2692.7,0.07706,346.18,,,NIST_FT5_NEE,-2.04562,-2.04562,317.8,,0,,0.995856,0.995856,1,
6/28/22 11:10,179.46575,99.08,2692.7,0.06564,290.02,,,NIST_FT4_NEE,-2.64982,-2.63148,317.8,,0,,0.991615,0.991363,1,
6/28/22 11:20,179.47252,99.06,2530,0.08915,399.85,,,NIST_FT3_NEE_Att2,0.411688,0.411688,314,,0,,0.913819,0.913819,1,
6/28/22 11:25,179.47624,99.07,2530,0.08439,377.23,,,NIST_FT2_NEE,-1.93034,-1.9124,314,,0,,0.99859,0.998411,1,
6/28/22 12:48,179.5337,57.73,2530,0.06997,255.47,,,NIST_FT2_NEE,0.581039,0.581039,314,,0,,0.921434,0.921435,1,
6/28/22 13:12,179.55024,99.31,4842.9,0.09086,398.14,,,NIST_L11_R_Afternoon_Att2,1.86925,1.58581,314,,0,,0.994676,0.992369,1,
6/28/22 13:15,179.55236,99.31,5470.9,0.09496,425.42,,,NIST_L12_R_Afternoon,1.90382,1.80415,314,,0,,0.998253,0.998028,1,
