LI-8100,LI-8100,LI-8100,,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,LI-8100,CHAMBER,LI-8100,CHAMBER,CHAMBER,LI-8100,LI-8100,Keep,Notes
DATE initial_value,DOY initial_value,PA initial_value,VOLUME_TOTAL,CO2 initial_value,CO2_DRY initial_value,TIMESTAMP_START,VOLUME,COMMENT,FCO2_DRY,FCO2_DRY LIN,AREA,VOLUME,ETIME initial_value,COLLAR_HEIGHT,FCO2_DRY R2,FCO2_DRY LIN_R2,,
[YYYY-MM-DD HH:MM:SS],[#],[kPa],[cm+3],[umol+1 mol-1],[umol+1 mol-1],[YYYYMMDDHHMMSS],[cm+3],[#],[umol+1m-2s-1],[umol+1m-2s-1],[cm+2],[cm+3],[s],[cm],[#],[#],,
7/26/22 9:13,207.38463,98.53,2216,465.61,476.42,2.02E+13,2197,FT4_NEE,14.67604,13.12836,314,19,0,0,0.99954,0.99851,1,
7/26/22 9:18,207.38754,98.53,2216,451.84,463.33,2.02E+13,2197,FT5_NEE,18.97034,16.58059,314,19,0,0,0.99949,0.99803,1,
7/26/22 9:24,207.39212,98.86,2530,413.07,421.65,2.02E+13,2197,FT6_NEE,7.3883,7.3883,314,19,0,1,0.99954,0.99954,1,
7/26/22 9:29,207.39524,98.96,2687,412.83,421.82,2.02E+13,2197,FT3_NEE,14.81254,13.02948,314,19,0,1.5,0.9985,0.99708,1,
7/26/22 9:35,207.39955,98.94,2530,537.44,552.64,2.02E+13,2197,FT2_NEE,10.43298,10.43298,314,19,0,1,0.99781,0.99781,1,
7/26/22 9:41,207.4037,98.9,2844,558.5,574.69,2.02E+13,2197,FT8_NEE,25.11597,22.77383,314,19,0,2,0.99971,0.99902,1,
7/26/22 9:45,207.40662,98.86,2844,420.76,431.84,2.02E+13,2197,FT9_NEE,12.33391,12.33391,314,19,0,2,0.99731,0.99731,1,
7/26/22 9:51,207.41109,98.97,2530,525.17,540.16,2.02E+13,2197,FT7_NEE,19.59085,17.57802,314,19,0,1,0.99984,0.99899,1,
