LI-8100,LI-8100,LI-8100,,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,LI-8100,CHAMBER,LI-8100,CHAMBER,CHAMBER,LI-8100,LI-8100,Keep,Notes
DATE initial_value,DOY initial_value,PA initial_value,VOLUME_TOTAL,CO2 initial_value,CO2_DRY initial_value,TIMESTAMP_START,VOLUME,COMMENT,FCO2_DRY,FCO2_DRY LIN,AREA,VOLUME,ETIME initial_value,COLLAR_HEIGHT,FCO2_DRY R2,FCO2_DRY LIN_R2,,
[YYYY-MM-DD HH:MM:SS],[#],[kPa],[cm+3],[umol+1 mol-1],[umol+1 mol-1],[YYYYMMDDHHMMSS],[cm+3],[#],[umol+1m-2s-1],[umol+1m-2s-1],[cm+2],[cm+3],[s],[cm],[#],[#],,
7/27/22 9:17,208.38705,98.86,147890,395.38,407.63,2.02E+13,127303,GL3_NEE_Att4,-16.17699,-16.17699,2571,19,0,8,0.99796,0.99796,1,
7/27/22 9:20,208.38914,98.87,147890,405.87,418.91,2.02E+13,127303,GL3_R,18.27627,18.27627,2571,19,0,8,0.99883,0.99883,1,
7/27/22 9:25,208.39245,98.82,145319,454.43,469.08,2.02E+13,127303,GL2_NEE_att2,-5.6319,-5.6319,2571,19,0,7,0.97702,0.97702,1,
7/27/22 9:29,208.39539,98.85,147890,696.1,719.65,2.02E+13,127303,GL1_NEE_Att3,-7.49944,-7.49944,2571,19,0,8,0.97884,0.97884,1,
7/27/22 10:08,208.4224,98.46,2216,379.04,392.3,2.02E+13,2197,L41_NEE,-0.39254,-0.39254,2571,19,0,0,0.99336,0.99336,1,
7/27/22 10:12,208.42568,98.82,3501.5,393.83,408.86,2.02E+13,2197,L42_NEE,-2.31519,-2.31519,2571,19,0,0.5,0.9912,0.9912,1,
7/27/22 10:15,208.42773,98.79,3501.5,405.24,421.16,2.02E+13,2197,L43_NEE,-1.29656,-1.29656,2571,19,0,0.5,0.99528,0.99528,1,
7/27/22 10:19,208.43002,98.88,2216,389.76,403.69,2.02E+13,2197,L31_NEE,-0.83657,-0.83657,2571,19,0,0,0.97245,0.97245,1,
7/27/22 10:22,208.4324,98.88,3501.5,406.74,422.46,2.02E+13,2197,L32_NEE,-0.89125,-0.89125,2571,19,0,0.5,0.9838,0.9838,1,
7/27/22 10:25,208.43444,98.84,3501.5,396.53,411.44,2.02E+13,2197,L33_NEE,-0.54324,-0.54324,2571,19,0,0.5,0.97985,0.97985,1,
7/27/22 10:30,208.438,98.89,2216,408.18,423.84,2.02E+13,2197,L21_NEE,-1.80916,-1.80916,2571,19,0,0,0.99208,0.99208,1,
7/27/22 10:33,208.44012,98.95,3501.5,395.18,410.56,2.02E+13,2197,L22_NEE,0.05999,0.05999,2571,19,0,0.5,0.82992,0.82992,1,
7/27/22 10:36,208.44212,98.99,2216,389.44,404.24,2.02E+13,2197,L23_NEE,-0.51518,-0.51518,2571,19,0,0,0.99549,0.99549,1,
7/27/22 10:40,208.44454,98.8,2216,394.58,409.3,2.02E+13,2197,L11_NEE,-1.06453,-1.06453,2571,19,0,0,0.99165,0.99165,1,
7/27/22 10:42,208.44596,98.95,2216,398.36,414.57,2.02E+13,2197,L12_NEE,-0.36109,-0.36109,2571,19,0,0,0.9627,0.9627,1,
7/27/22 10:44,208.44786,98.81,3501.5,406.48,423.21,2.02E+13,2197,L13_NEE,-1.50816,-1.50816,2571,19,0,0.5,0.99428,0.99428,1,
7/27/22 10:57,208.45681,98.56,4842.9,440.23,454.46,2.02E+13,4823.9,L41_R,15.37239,15.0716,314,19,0,0,0.99948,0.99945,1,
7/27/22 10:59,208.45829,98.59,4842.9,399.58,412.7,2.02E+13,4823.9,L42_R,14.03511,13.82621,314,19,0,0,0.99739,0.99738,1,
7/27/22 11:01,208.4597,98.6,4842.9,402.96,416.4,2.02E+13,4823.9,L43_R,13.44869,13.44869,314,19,0,0,0.99915,0.99915,1,
7/27/22 11:04,208.46124,98.59,4842.9,429.43,444.45,2.02E+13,4823.9,L31_R,10.03782,10.03782,314,19,0,0,0.99445,0.99445,1,
7/27/22 11:06,208.46277,98.57,4999.9,393.58,407.46,2.02E+13,4823.9,L32_R,11.36269,11.36269,314,19,0,0.5,0.99901,0.99901,1,
7/27/22 11:08,208.46417,98.59,4999.9,407.44,422.04,2.02E+13,4823.9,L33_R,9.51479,9.51479,314,19,0,0.5,0.99421,0.99421,1,
7/27/22 11:10,208.46567,98.56,4999.9,396.69,410.9,2.02E+13,4823.9,L21_R,11.47556,11.47556,314,19,0,0.5,0.99903,0.99903,1,
7/27/22 11:12,208.46711,98.57,5156.9,398.98,413.36,2.02E+13,4823.9,L22_R,10.04146,9.23348,314,19,0,1,0.9976,0.9971,1,
7/27/22 11:14,208.46853,98.58,4842.9,389.13,403.78,2.02E+13,4823.9,L23_R,10.36605,10.29664,314,19,0,0,0.99974,0.99973,1,
7/27/22 11:17,208.47036,98.56,4842.9,393.86,408.37,2.02E+13,4823.9,L11_R,13.46609,13.46609,314,19,0,0,0.99892,0.99892,1,
7/27/22 11:19,208.47174,98.57,4842.9,405.67,418.98,2.02E+13,4823.9,L12_R,8.27757,8.27757,314,19,0,0,0.99141,0.99141,1,
7/27/22 11:21,208.47311,98.56,4842.9,396.37,410.05,2.02E+13,4823.9,L13_R,17.92409,16.05606,314,19,0,0,0.98355,0.98219,1,
