LI-8100,LI-8100,LI-8100,,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,LI-8100,CHAMBER,LI-8100,CHAMBER,CHAMBER,LI-8100,LI-8100
DATE initial_value,DOY initial_value,PA initial_value,VOLUME_TOTAL,CO2 initial_value,CO2_DRY initial_value,TIMESTAMP_START,VOLUME,COMMENT,FCO2_DRY,FCO2_DRY LIN,AREA,VOLUME,ETIME initial_value,COLLAR_HEIGHT,FCO2_DRY R2,FCO2_DRY LIN_R2
[YYYY-MM-DD HH:MM:SS],[#],[kPa],[cm+3],[umol+1 mol-1],[umol+1 mol-1],[YYYYMMDDHHMMSS],[cm+3],[#],[umol+1m-2s-1],[umol+1m-2s-1],[cm+2],[cm+3],[s],[cm],[#],[#]
10/18/2022 10:22,291.4326,97.69,3786,402.29,405.67,2.0221E+13,2197,L12_NEE,-8.5264,-8.5264,314,19,0,5,0.99943,0.99943
10/18/2022 10:25,291.43431,98.07,3786,419.63,424.31,2.0221E+13,2197,L11_NEE,2.11727,2.11727,314,19,0,5,0.99504,0.99504
10/18/2022 10:27,291.4358,98.06,3786,408.89,412.82,2.0221E+13,2197,L13_NEE,1.71846,1.68021,314,19,0,5,0.99521,0.99519
10/18/2022 10:29,291.43735,98.16,3786,417.29,420.28,2.0221E+13,2197,L21_NEE,-3.17962,-3.17962,314,19,0,5,0.99539,0.99539
10/18/2022 10:31,291.43872,98.09,3943,410.3,415.31,2.0221E+13,2197,L22_NEE,-2.40034,-2.40034,314,19,0,5.5,0.99531,0.99531
10/18/2022 10:33,291.44016,98.11,3786,406.7,411.79,2.0221E+13,2197,L23_NEE,-5.24291,-5.24291,314,19,0,5,0.99914,0.99914
10/18/2022 10:36,291.44197,98.09,3786,407.56,412.48,2.0221E+13,2197,L31_NEE,-3.0486,-3.0486,314,19,0,5,0.99542,0.99542
10/18/2022 10:38,291.44337,98.13,3943,406.98,411.92,2.0221E+13,2197,L32_NEE,-8.58755,-8.58755,314,19,0,5.5,0.99911,0.99911
