LI-8100,LI-8100,LI-8100,,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,LI-8100,CHAMBER,LI-8100,CHAMBER,CHAMBER,LI-8100,LI-8100,Keep,Notes
DATE initial_value,DOY initial_value,PA initial_value,VOLUME_TOTAL,CO2 initial_value,CO2_DRY initial_value,TIMESTAMP_START,VOLUME,COMMENT,FCO2_DRY,FCO2_DRY LIN,AREA,VOLUME,ETIME initial_value,COLLAR_HEIGHT,FCO2_DRY R2,FCO2_DRY LIN_R2,,
[YYYY-MM-DD HH:MM:SS],[#],[kPa],[cm+3],[umol+1 mol-1],[umol+1 mol-1],[YYYYMMDDHHMMSS],[cm+3],[#],[umol+1m-2s-1],[umol+1m-2s-1],[cm+2],[cm+3],[s],[cm],[#],[#],,
6/29/22 9:18,180.38808,99.38,147890,380.99,390.7,2.02206E+13,127303,GL1_NEE,-4.28455,-4.28455,2571,19,0,8,0.99425,0.99425,0,
6/29/22 9:29,180.39549,99.51,147890,356.05,367.6,2.02206E+13,127303,GL1_NEE_Att4,-4.79537,-4.79537,2571,19,0,8,0.99537,0.99537,0,
6/29/22 9:33,180.39808,99.73,147890,385.55,399.42,2.02206E+13,127303,GL1_NEE_Att5,-8.14162,-8.14162,2571,19,0,8,0.99661,0.99661,0,
6/29/22 9:37,180.40087,99.88,147890,385.22,397.35,2.02206E+13,127303,GL1_NEE_Att6,-8.20088,-8.20088,2571,19,0,8,0.99816,0.99816,1,
6/29/22 9:44,180.40558,99.92,147890,385.4,397.78,2.02206E+13,127303,GL1_RS,7.97651,7.26027,2571,19,0,8,0.99897,0.99821,1,
6/29/22 9:55,180.41339,99.75,147890,388.88,402.72,2.02206E+13,127303,GL2_NEE,-7.30584,-7.30584,2571,19,0,8,0.99905,0.99905,1,
6/29/22 10:00,180.41671,99.83,147890,388.06,398.07,2.02206E+13,127303,GL2_RS,4.82979,4.66249,2571,19,0,8,0.95005,0.95144,1,
6/29/22 10:17,180.42902,99.7,149175.5,391.61,401.14,2.02206E+13,127303,GL3_NEE,-10.29954,-10.29954,2571,19,0,8.5,0.99911,0.99911,1,
6/29/22 10:22,180.43234,99.83,149175.5,383.25,397.32,2.02206E+13,127303,GL3_RS,10.03324,9.7555,2571,19,0,8.5,0.99939,0.99933,1,
