Notebook,EntryOrder,DOY,Date,Time,MeasRound,Collar,Note,Soil Moisture (%),Soil T (C)
Andy,,137,5/17/2022,9:40,1,FT1,,49.4,18.4
Andy,,137,5/17/2022,9:48,1,FT2,"second and third measurment taken with a flux of -0.59 and -0.47, respectively",52.2,17.4
Andy,,137,5/17/2022,9:57,1,FT3,second measurement taken with flux of 3.7,53.4,18
Andy,,137,5/17/2022,10:01,1,FT4,second measurement taken with flux of -6.05,34.6,18.2
Andy,,137,5/17/2022,10:08,1,FT5,,43.1,19.4
Andy,52,137,5/17/2022,18:25,2,FT1,,43.1,19.4
Andy,53,137,5/17/2022,18:23,2,FT2,,34.6,18.2
Andy,54,137,5/17/2022,18:21,2,FT3,,53.4,18
Andy,55,137,5/17/2022,18:14,2,FT4,,49.4,18.4
Andy,56,137,5/17/2022,18:16,2,FT5,,52.2,17.4
Andy,57,137,5/17/2022,18:18,2,FT6,,,
Andy,40,137,5/17/2022,,1,L11,,52.8,22.7
Andy,41,137,5/17/2022,,1,L12,,52.8,22.7
Andy,42,137,5/17/2022,15:33,1,L13,,52.8,22.7
Andy,43,137,5/17/2022,16:47,1,L21,1300 has a question mark next to it for PAR,51.1,23.9
Andy,44,137,5/17/2022,16:51,1,L22,,51.1,23.9
Andy,45,137,5/17/2022,16:10,1,L23,,51.1,23.9
Andy,46,137,5/17/2022,16:16,1,L31,,49.4,22.1
Andy,47,137,5/17/2022,16:19,1,L32,,49.4,22.1
Andy,48,137,5/17/2022,16:21,1,L33,Maybe only 1500 for 0-45 sec (?),49.4,22.1
Andy,49,137,5/17/2022,16:24,1,L41,,51.1,22.3
Andy,50,137,5/17/2022,16:27,1,L42,,51.1,22.3
Andy,51,137,5/17/2022,16:29,1,L43,,51.1,22.3
Andy,58,138,5/18/2022,9:41,1,FT1,"Measured twice, use second",44.3,16.7
Andy,59,138,5/18/2022,9:44,1,FT2, ,46.5,16.7
Andy,60,138,5/18/2022,9:46,1,FT3,,51.1,17.7
Andy,61,138,5/18/2022,9:53,1,FT4,,40.3,16.9
Andy,62,138,5/18/2022,9:51,1,FT5, ,44.3,16.4
Andy,63,138,5/18/2022,9:49,1,FT6,,48.8,16.8
Andy,64,138,5/18/2022,9:56,1,FT7,,46,17
Andy,65,138,5/18/2022,9:58,1,FT8,,40.3,17.1
Andy,66,138,5/18/2022,10:00,1,FT9,,38,17
Andy,67,138,5/18/2022,10:33,1,GL1,,53.4,16.8
Andy,68,138,5/18/2022,11:02,1,GL2,"Two measurments, use second",54.5,16.8
Andy,69,138,5/18/2022,11:10,1,GL3,,44.8,15.9
Andy,70,138,5/18/2022,11:33,1,L11,,50.5,19.9
Andy,71,138,5/18/2022,11:45,1,L12,Died mid measurement so did another one,50.5,19.9
Andy,72,138,5/18/2022,11:47,1,L13,,50.5,19.9
Andy,73,138,5/18/2022,11:50,1,L21,,46.5,20.4
Andy,74,138,5/18/2022,11:52,1,L22,,46.5,20.4
Andy,75,138,5/18/2022,11:54,1,L23,,46.5,20.4
Andy,76,138,5/18/2022,12:09,1,L31,,52.2,20.6
Andy,77,138,5/18/2022,12:11,1,L32,,52.2,20.6
Andy,78,138,5/18/2022,12:13,1,L33,,52.2,20.6
Andy,79,138,5/18/2022,12:00,1,L41,"First one looked weird, use second",49.4,19.8
Andy,80,138,5/18/2022,12:02,1,L42,,49.4,19.8
Andy,81,138,5/18/2022,12:05,1,L43,,49.4,19.8
Andy,82,138,5/18/2022,13:47,2,FT1,,42,22.4
Andy,83,138,5/18/2022,13:49,2,FT2,,31,21.3
Andy,84,138,5/18/2022,13:52,2,FT3,,51.1,21.2
Andy,85,138,5/18/2022,13:54,2,FT4,,35.1,20.6
Andy,86,138,5/18/2022,13:58,2,FT5,,48.8,21.3
Andy,87,138,5/18/2022,14:00,2,FT6,,40.3,20.4
Andy,88,138,5/18/2022,14:43,2,GL1,Fans not working,43.1,20.8
Andy,89,138,5/18/2022,14:55,2,GL2,Fans not working,46.5,18.4
Andy,90,138,5/18/2022,15:06,2,GL3,Fans not working,42,19.1
Andy,231,138,5/18/2022,,1,JS1,stiltgrass,45.4,16.6
Andy,232,138,5/18/2022,,1,JS2,stiltgrass,43.1,16.4
Andy,100,138,5/18/2022,15:40,2,L11,,50.5,19.9
Andy,101,138,5/18/2022,15:42,2,L12,,50.5,19.9
Andy,102,138,5/18/2022,15:44,2,L13,,50.5,19.9
Andy,94,138,5/18/2022,15:33,2,L21,,46.5,20.4
Andy,95,138,5/18/2022,15:35,2,L22,,46.5,20.4
Andy,96,138,5/18/2022,15:37,2,L23,,46.5,20.4
Andy,97,138,5/18/2022,15:25,2,L31,,52.2,20.4
Andy,98,138,5/18/2022,15:28,2,L32,,52.2,20.6
Andy,99,138,5/18/2022,15:30,2,L33,,52.2,20.6
Andy,91,138,5/18/2022,15:18,2,L41,,49.4,19.8
Andy,92,138,5/18/2022,15:20,2,L42,,49.4,19.8
Andy,93,138,5/18/2022,15:22,2,L43,,49.4,19.8
Lab,139,179,6/28/2022,6/28/2022 11:24,1,FT2,Rs: use Att3,,
Lab,140,179,6/28/2022,6/28/2022 11:18,1,FT3,"Rs: use Att2, NEE: use Att2",,
Lab,141,179,6/28/2022,6/28/2022 11:09,1,FT4,,,
Lab,142,179,6/28/2022,6/28/2022 11:05,1,FT5,Particularly tilted in the soil,,
Lab,143,179,6/28/2022,6/28/2022 11:02,1,FT6,Was wiggly in soil,,
Lab,144,179,6/28/2022,6/28/2022 10:57,1,FT7,,,
Lab,145,179,6/28/2022,6/28/2022 10:54,1,FT8,,,
Lab,146,179,6/28/2022,6/28/2022 10:52,1,FT9,,,
Lab,127,179,6/28/2022,6/28/2022 8:57,1,L11,,,
Lab,128,179,6/28/2022,6/28/2022 9:00,1,L12,,,
Lab,129,179,6/28/2022,6/28/2022 9:03,1,L13,,,
Lab,130,179,6/28/2022,6/28/2022 9:05,1,L21,,,
Lab,131,179,6/28/2022,6/28/2022 9:08,1,L22,,,
Lab,132,179,6/28/2022,6/28/2022 9:11,1,L23,,,
Lab,133,179,6/28/2022,6/28/2022 9:13,1,L31,,,
Lab,134,179,6/28/2022,6/28/2022 9:15,1,L32,,,
Lab,135,179,6/28/2022,6/28/2022 9:17,1,L33,,,
Lab,136,179,6/28/2022,6/28/2022 9:20,1,L41,,,
Lab,137,179,6/28/2022,6/28/2022 9:22,1,L42,,,
Lab,138,179,6/28/2022,6/28/2022 9:24,1,L43,,,
Lab,159,179,6/28/2022,6/28/2022 16:00,2,FT2,Rs file accidentally named NEE,,
Lab,160,179,6/28/2022,6/28/2022 16:07,2,FT3,Use Att2,,
Lab,161,179,6/28/2022,6/28/2022 16:25,2,FT4,,,
Lab,162,179,6/28/2022,6/28/2022 16:18,2,FT5,Use Att3,,
Lab,163,179,6/28/2022,6/28/2022 16:11,2,FT6,Has thistle,,
Lab,164,179,6/28/2022,6/28/2022 16:40,2,FT7,,,
Lab,165,179,6/28/2022,6/28/2022 16:46,2,FT8,"Grass very tall, blocking air flow",,
Lab,166,179,6/28/2022,6/28/2022 16:51,2,FT9,,,
Lab,147,179,6/28/2022,6/28/2022 14:30,2,L11,Rs use Att2,,
Lab,148,179,6/28/2022,6/28/2022 14:34,2,L12,,,
Lab,149,179,6/28/2022,6/28/2022 14:38,2,L13,,,
Lab,150,179,6/28/2022,6/28/2022 14:41,2,L21,"Par likely variable throughout, thin clouds",,
Lab,151,179,6/28/2022,6/28/2022 14:45,2,L22,Rs use Att2,,
Lab,152,179,6/28/2022,6/28/2022 14:48,2,L23,Rs use Att3,,
Lab,153,179,6/28/2022,6/28/2022 14:52,2,L31,Rs beginning was bumpy but ending was ok,,
Lab,154,179,6/28/2022,6/28/2022 14:55,2,L32,,,
Lab,155,179,6/28/2022,6/28/2022 14:58,2,L33,"Par likely variable throughout, thin clouds",,
Lab,156,179,6/28/2022,6/28/2022 15:02,2,L41,Clouds heavier at end,,
Lab,157,179,6/28/2022,6/28/2022 15:05,2,L42,,,
Lab,158,179,6/28/2022,6/28/2022 15:08,2,L43,Rs bumpy at first use Att2,,
Lab,167,180,6/29/2022,6/29/2022 9:37,1,GL1,,,
Lab,168,180,6/29/2022,6/29/2022 9:55,1,GL2,,,
